,day,n_data,r2_raw,r2_lat
175,64,28,0.3031359546828819,0.3629792611363031
176,64,14,0.2787988430935132,0.31549597051597056
177,64,7,0.5318753398204334,0.32955339345040335
178,64,4,0.22127080072735095,0.2455247602270504
179,64,2,0.2561301027245291,0.2921666666666666
180,65,28,0.320475555983626,0.3647436363636365
181,65,14,0.4151834698302459,0.4687336061102019
182,65,7,0.5523966737638222,0.36267889285107846
183,65,4,0.2305149919028915,0.36776190476190485
184,65,2,0.12141714333279607,0.46901736111111125
185,66,28,0.12810232043510783,0.45406322463768123
186,66,14,0.07802148745466442,0.3824816397849464
187,66,7,0.5392913118954683,0.34882894736842107
188,66,4,0.09073116464268316,0.3763771289537714
189,66,2,0.48097138678120865,0.4750312148481438
190,67,28,0.24765902434782416,0.41342932249322495
191,67,14,0.05334017150176307,0.38087618679050583
192,67,7,0.5369917626792298,0.2469920000000002
193,67,4,0.19302863577071494,0.26477428571428563
194,67,2,-0.0654224981194631,0.24084982638888908
195,68,28,0.34305860558188095,0.36750708882039795
196,68,14,0.7196775610764654,0.43179103927986906
197,68,7,0.6264236372160823,0.3348815789473685
198,68,4,0.21609488481195815,0.40989338235294137
199,68,2,0.2518781093390924,0.38045298032407415
200,69,28,0.26152058219073426,0.3585391812865496
201,69,14,0.13454577351719021,0.5179605590062113
202,69,7,-0.1174449576111718,0.29640586849432426
203,69,4,0.04281818273383575,0.3984347619047619
204,69,2,0.00669243040033618,0.5478778195488723
205,70,28,0.38100883795803775,0.33262306910569095
206,70,14,-0.3710742630063084,0.36675918028247045
207,70,7,0.5825141180142781,0.3054402689873418
208,70,4,0.0189336747663712,0.2393876190476193
209,70,2,-0.3026734787891785,0.2900084973166369
210,71,28,0.4366216554785086,0.37473445266272176
211,71,14,0.6909484526084557,0.49996350496838304
212,71,7,0.387906390642763,0.3383677248677248
213,71,4,-0.03243943938227889,0.3349581950895819
214,71,2,0.04456995572421685,0.4769341603053435
215,72,28,0.3438782221704899,0.3270855400696864
216,72,14,0.5693620105173197,0.3976924331926863
217,72,7,0.44487462056402427,0.271978382551631
218,72,4,0.17104920089317854,0.23253623188405803
219,72,2,0.27584107947069525,0.46615353037766816
220,73,28,0.25634303544981385,0.3080646198830407
221,73,14,-0.0053002772263095466,0.4160002761627908
222,73,7,0.6191032742971939,0.21600324675324667
223,73,4,0.08826370274418749,0.33490931209909314
224,73,2,-1.4882915733394744,0.3177735539654145
225,74,28,-5.718926093446736,0.23086456326268456
226,74,14,-0.45518197463988863,0.36862340319361286
227,74,7,-1.72412041792902,0.24154392911010558
228,74,4,0.08271363715284485,0.26718682065217403
229,74,2,0.05186435946505319,0.3311140046296298
230,75,28,0.051306187235946266,0.3433937278106508
231,75,14,0.3519988879182312,0.41553054379680887
232,75,7,-0.1169133296233873,0.12254431216931227
233,75,4,-0.022870829865170972,0.34269748769748776
234,75,2,0.017299198116506598,0.4120466073781289
235,76,28,0.3597187797989072,0.30276276018099546
236,76,14,-0.23846236353503314,0.32916960675713114
237,76,7,-0.28347634104720765,0.2217162698412698
238,76,4,-0.026545034384382493,0.3947195310771954
239,76,2,-0.05159107236103799,0.4384028461959496
240,77,28,0.20196631864887182,0.33746642429426865
241,77,14,0.4258998042082677,0.4145191794203842
242,77,7,-0.18342963291848347,0.2318152557319224
243,77,4,-0.12980295986014623,0.30987285714285706
244,77,2,0.04143418457817849,0.3020924074074073
245,78,28,0.14185530566734927,0.31790562130177513
246,78,14,0.715951649155347,0.40807441717791393
247,78,7,0.3174706988876238,0.09435232383808101
248,78,4,-0.019538610548604396,0.43664017210144923
249,78,2,0.06615858124888829,0.570543258101852
250,79,28,-0.11299771485532517,0.2772918702865761
251,79,14,0.8161809630649817,0.31881305329719967
252,79,7,0.6761433454997514,0.18510273368606722
253,79,4,0.3763562868296205,0.39392573682989085
254,79,2,0.6296301582092529,0.45915494791666667
255,80,28,-0.005365441285788197,0.30690878787878784
256,80,14,0.7971589220218168,0.31211056910569124
257,80,7,0.6129032465315742,0.1906022003474236
258,80,4,-0.06796945904218643,0.2774478306878305
259,80,2,0.41651337434029245,0.45358446153846155
260,81,28,0.14452692614749463,0.1930774041483344
261,81,14,0.7798869917167622,0.31777193096711187
262,81,7,0.3108133602553377,0.2968852083333332
263,81,4,0.1597356050708877,0.328297619047619
264,81,2,0.15157907441771112,0.5432972328244274
265,82,28,0.2272788578735805,0.36122807017543834
266,82,14,0.3522311172016528,0.40295660287081325
267,82,7,-0.585117522136748,0.27115564373897694
268,82,4,-0.058974265989855335,0.39095597945707994
269,82,2,-0.18508695130199881,0.5327107692307693
270,83,28,0.4599297160280814,0.24063422193877548
271,83,14,0.5903796913982343,0.3133850566037739
272,83,7,0.29036202313787796,0.03793334651898739
273,83,4,0.2132368928153131,0.308162795841628
274,83,2,0.10260214655613864,0.38861959496442244
275,84,28,0.24431070508667663,0.23193349593495938
276,84,14,0.5845707857279081,0.29201021505376346
277,84,7,0.2072094826718176,0.14940051424050627
278,84,4,0.1910792778287087,0.3087336235489221
279,84,2,0.2175694664435397,0.5112661698537682
280,85,28,0.5097779372648737,0.3107052040816327
281,85,14,0.7022364671484622,0.3540513464052286
282,85,7,0.34338080298830376,0.15247824367088603
283,85,4,0.21918761276523568,0.34625578149920255
284,85,2,0.3092098975486851,0.4532620967741938
285,86,28,0.29082495910665984,0.2703473469923825
286,86,14,0.5680639572522727,0.2679220846233231
287,86,7,0.21499373104168995,0.042795760368663394
288,86,4,-0.07491524885354472,0.28677836761778364
289,86,2,-0.24137841604853083,0.4141839294585197
290,87,28,0.4185086730537151,0.25820415372670813
291,87,14,0.6434022887218283,0.34037086679590156
292,87,7,0.561002234190175,0.21718239722061405
293,87,4,0.13284630717504087,0.3517169117647061
294,87,2,0.20567740699572146,0.40790339354132454
295,88,28,0.35865552911264453,0.27771397849462354
296,88,14,0.6979530926294535,0.3924716976264191
297,88,7,0.523530125086886,0.19999170274170242
298,88,4,0.11715148327584823,0.3746396949404761
299,88,2,0.25010890598664537,0.439381803868646
300,89,28,0.2102110655995758,0.315082474489796
301,89,14,0.6041922018611122,0.40658769776322956
302,89,7,0.3926605618163529,0.17897336421540266
303,89,4,0.08859278440578433,0.39355020551967124
304,89,2,0.31454279362046533,0.4052061383417316
305,90,28,0.2706012390033764,0.26948171583850955
306,90,14,0.5132464000401264,0.3531391382868938
307,90,7,0.4840272045100341,0.08263447004608282
308,90,4,0.040917428961373625,0.20077442307692306
309,90,2,0.16047269401515996,0.33020028011204483
310,91,28,0.18947319382174754,0.25746374842767306
311,91,14,0.6602448512205338,0.310854330836861
312,91,7,-0.07922887536776835,0.11417250000000001
313,91,4,-0.2522565091701474,0.1870330882352944
314,91,2,0.11983518045882235,0.27357006020799113
315,92,28,0.44262260741689685,0.2774951799317048
316,92,14,0.4830677690466536,0.40937620068610636
317,92,7,-0.10166800555621203,0.16000999999999987
318,92,4,0.1599762953907532,0.34058349206349203
319,92,2,0.4343364340342337,0.25594092987804884
320,93,28,0.22608850667991864,0.3013496265670844
321,93,14,0.7790484621386998,0.3661763150371641
322,93,7,0.4106807331107415,0.1747084601339014
323,93,4,0.05220494013675947,0.2939960613598671
324,93,2,0.38821059369365396,0.4213387096774196
325,94,28,0.27959074530309436,0.2637635162601626
326,94,14,0.7979967464108725,0.3622341614906833
327,94,7,0.24455851283780106,0.18744954819277126
328,94,4,0.0736482179744834,0.3279782342871119
329,94,2,0.2851467631979199,0.3203585112205801
330,95,28,0.2682628995723695,0.34370833333333317
331,95,14,0.8284885358492609,0.36080577352472065
332,95,7,-0.1997536553650361,0.05901431492842535
333,95,4,0.10544812502841638,0.34647168803418793
334,95,2,0.3375751810379136,0.4787349999999998
335,96,28,0.29740382180970515,0.3310454142011833
336,96,14,0.7439117297530666,0.3822052376485304
337,96,7,0.21089357765863725,0.22725253840145787
338,96,4,-0.4210612195959671,0.40238036667440236
339,96,2,0.48800009312181225,0.5355244360902255
340,97,28,0.190998866203129,0.2783378402366863
341,97,14,0.696490458023985,0.33380506134969323
342,97,7,0.12090662934062846,0.12438536696205416
343,97,4,0.06593018790097505,0.4211107336956521
344,97,2,0.2615236724523312,0.6485483460559796
345,98,28,0.23649034779215772,0.3825560735671515
346,98,14,0.7473293569105716,0.40708121165644173
347,98,7,0.3025897861203689,0.08131660606060598
348,98,4,-0.28113786581925493,0.3881654501216546
349,98,2,0.3201912899088375,0.5728157114624506
350,99,28,0.3066947377738284,0.26748959059233457
351,99,14,0.8464349867552878,0.3488321138211383
352,99,7,0.05335354996359831,-0.001982683982683975
353,99,4,0.20910932535767757,0.1686463683052093
354,99,2,0.3449103021485408,0.37481133900928787
355,100,28,0.2569754156060461,0.41012870905587673
356,100,14,0.6937012211379114,0.4005941666666668
357,100,7,0.21174457500404775,0.1183525123665713
358,100,4,-0.20362203982318028,0.3376028368794327
359,100,2,0.3051900560337788,0.33785487616099097
360,101,28,0.20594897086484476,0.36034339689265527
361,101,14,0.7365035019590526,0.3773078571428573
362,101,7,0.5190686871013921,0.0010526470588232417
363,101,4,-0.6514041192395781,0.22532091097308493
364,101,2,0.1761911284413169,0.28633373884833757
365,102,28,0.18988654823453144,0.32242573099415195
366,102,14,0.5859620961066152,0.38754285249104525
367,102,7,0.21204778727719165,0.1013231707317076
368,102,4,-0.32218583301380277,0.3060741951710262
369,102,2,0.30980527055447793,0.587485987696514
370,103,28,0.0633683795497002,0.3573486425339366
371,103,14,0.527736610098417,0.40630432216905876
372,103,7,-0.23397238770268314,0.08853977272727287
373,103,4,-0.6584477121288035,0.330868712273642
374,103,2,0.29308671454798774,0.44890037037037045
375,104,28,0.2675186900731502,0.31626628787878774
376,104,14,0.5277733347861633,0.28935845238095237
377,104,7,-0.19383237124858832,0.23896139757678214
378,104,4,0.10430639500577599,0.3202923832923833
379,104,2,0.09215440608623648,0.3016167654808958
380,105,28,0.15609996130109272,0.3438628654970758
381,105,14,-0.015088586628779321,0.32717019938650305
382,105,7,-1.068942226279606,0.03151587878787876
383,105,4,-0.12996133951071376,0.34032426832426843
384,105,2,0.5416630263247515,0.45206351851851845
