,directory,r2,n_focal,size
115,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I7_bgLV_B95_T5_random,0.6487494577476973,5,40960000
116,zz294_VAE_saved_sims_bgLV_I6_bgLV_B47_T3_random,0.9606440157841525,3,24576000
117,zz294_VAE_saved_sims_dgLV_I5_dgLV_B92_T8_fixed,0.8564485309202288,8,65536000
118,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I7_bgLV_B92_T8_random,0.48507516206920454,8,65536000
119,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B90_T10_fixed,0.9842186918812743,10,81920000
120,zz294_VAE_saved_sims_sgLV_I3_sgLV_B98_T2_fixed,0.9861476867088866,2,16384000
121,zz294_VAE_saved_sims_sgLV_I1_sgLV_B95_T5_fixed,0.9995915515156162,5,40960000
122,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I1_bgLV_B98_T2_fixed,0.999809324447721,2,16384000
123,zz294_VAE_saved_sims_bgLV_I11_bgLV_B0_T10_random,0.9907292967099753,10,81920000
124,zz294_VAE_saved_sims_sgLV_I2_sgLV_B98_T2_fixed,0.85457394243702,2,16384000
125,zz294_VAE_saved_sims_bgLV_Prev_Jun11_I2_bgLV_B95_T5_fixed,0.9998423885103844,5,40960000
126,zz294_VAE_saved_sims_sgLV_I2_sgLV_B97_T3_fixed,0.9149995146433605,3,24576000
127,zz294_VAE_saved_sims_bgLV_I3_bgLV_B98_T2_random,0.8607639507948216,2,16384000
